City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
241,Brigantine,US,39.4101,-74.3646,46.99,53,1,27.63,clear sky
242,Nelson Bay,AU,-32.7167,152.15,73.99,73,40,9.22,scattered clouds
243,Hasaki,JP,35.7333,140.8333,59.0,94,75,13.8,mist
244,Kiunga,PG,-6.1219,141.2906,74.19,95,100,1.66,overcast clouds
245,Novosergiyevka,RU,52.0934,53.6528,-7.06,91,72,4.94,broken clouds
246,Yaan,NG,7.3833,8.5667,84.16,13,27,3.53,scattered clouds
247,College,US,64.8569,-147.8028,5.0,78,90,3.13,light snow
248,East London,ZA,-33.0153,27.9116,73.36,76,13,21.07,few clouds
249,Sampit,ID,-2.5333,112.95,75.15,86,85,1.81,overcast clouds
250,Souillac,MU,-20.5167,57.5167,78.8,78,75,8.05,broken clouds
251,Ankang,CN,32.68,109.0172,46.0,33,26,11.99,scattered clouds
252,Santo Tomas,PH,14.1079,121.1414,78.01,83,20,2.3,few clouds
253,Qaqortoq,GL,60.7167,-46.0333,23.0,58,0,3.44,clear sky
254,Poum,NC,-20.2333,164.0167,80.83,73,96,12.41,overcast clouds
255,Constitucion,CL,-35.3333,-72.4167,68.25,69,1,5.59,clear sky
256,Konstantinovka,RU,49.6167,127.9833,-5.84,97,91,3.65,overcast clouds
257,Havelock,US,34.8791,-76.9013,64.4,77,40,8.05,scattered clouds
258,Sabla,NG,12.7525,4.7077,83.21,10,0,15.05,clear sky
259,Mitu,CO,1.1983,-70.1733,83.79,64,80,2.95,broken clouds
260,Myanaung,MM,18.2833,95.3167,65.37,56,0,2.55,clear sky
261,Malinyi,TZ,-8.9333,36.1333,71.74,88,95,1.66,overcast clouds
262,Nuuk,GL,64.1835,-51.7216,10.4,72,0,18.41,clear sky
263,Narsaq,GL,60.9167,-46.05,23.0,58,0,3.44,clear sky
264,Aksarka,RU,66.5606,67.7975,0.01,95,100,17.58,light snow
265,Hithadhoo,MV,-0.6,73.0833,81.86,70,80,9.93,broken clouds
266,Sistranda,NO,63.7256,8.834,41.0,81,75,16.11,broken clouds
267,Baghdad,IQ,33.3406,44.4009,50.0,57,0,4.61,clear sky
268,Falun,SE,60.6036,15.626,42.8,61,88,14.97,overcast clouds
269,Kruisfontein,ZA,-34.0033,24.7314,70.0,93,100,1.99,light rain
270,Salym,RU,60.0625,71.4789,-11.07,99,69,3.53,broken clouds
271,Cagsiay,PH,14.2167,121.75,77.63,87,20,7.18,few clouds
272,Queanbeyan,AU,-35.35,149.2333,60.01,70,60,4.56,broken clouds
273,Lasa,IT,46.6166,10.7002,41.0,74,0,4.61,clear sky
274,Tanout,NE,14.9709,8.8879,73.98,18,0,15.93,clear sky
275,Iqaluit,CA,63.7506,-68.5145,1.4,71,90,11.5,snow
276,Dikson,RU,73.5069,80.5464,-19.86,88,0,15.3,clear sky
277,Sembe,CG,1.6481,14.5806,80.46,62,76,3.87,broken clouds
278,Paramonga,PE,-10.6667,-77.8333,76.89,62,22,7.0,few clouds
279,Hobyo,SO,5.3505,48.5268,78.31,74,36,18.05,scattered clouds
280,Landskrona,SE,55.8708,12.8302,36.0,97,0,10.09,clear sky
281,Oranjemund,NA,-28.55,16.4333,66.74,77,0,2.53,clear sky
282,San-Pedro,CI,4.7485,-6.6363,78.48,87,77,5.44,broken clouds
283,Upernavik,GL,72.7868,-56.1549,-10.5,70,82,10.04,broken clouds
284,Iranshahr,IR,27.2025,60.6848,64.4,27,0,4.61,clear sky
285,Kahului,US,20.8947,-156.47,77.0,53,40,23.02,scattered clouds
286,Vadlapudi,IN,14.3167,79.8,70.99,76,0,7.11,clear sky
287,Hokitika,NZ,-42.7167,170.9667,61.07,87,100,7.85,overcast clouds
288,Boundiali,CI,9.5217,-6.4869,79.97,42,59,4.0,broken clouds
289,Portland,US,45.5234,-122.6762,61.0,51,1,5.75,clear sky
290,Norilsk,RU,69.3535,88.2027,-33.03,77,2,6.53,clear sky
291,Anaco,VE,9.4389,-64.4728,85.39,36,7,4.14,clear sky
292,Malangwa,NP,26.8568,85.5581,62.92,28,0,2.37,clear sky
293,Port Lincoln,AU,-34.7333,135.8667,60.57,76,100,21.7,overcast clouds
294,Pringsewu,ID,-5.3582,104.9744,72.12,97,68,0.56,light rain
295,Punta Gorda,US,26.9298,-82.0454,82.4,65,1,13.8,clear sky
296,Kiama,AU,-34.6833,150.8667,66.0,88,92,12.97,light rain
297,Mackay,AU,-21.15,149.2,80.6,78,40,16.11,scattered clouds
298,Vaxjo,SE,56.8777,14.8091,35.6,100,90,9.22,overcast clouds
299,San Cristobal,VE,7.7669,-72.225,82.4,61,40,9.22,scattered clouds
300,Lola,GN,7.8,-8.5333,73.38,78,74,2.17,broken clouds
301,Luanda,AO,-8.8368,13.2343,80.6,78,40,9.22,scattered clouds
302,Oktyabrskiy,RU,54.4815,53.471,-6.92,96,13,6.73,few clouds
303,Poienari,RO,45.2167,25.05,36.0,83,67,1.01,broken clouds
