City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
602,Punta Alta,AR,84.0,few clouds,-38.8759,-62.0736,Center Hotel Punta Alta
603,Callaguip,PH,73.4,few clouds,18.0714,120.4867,Pangil Beach Resort
604,Opunake,NZ,68.0,broken clouds,-39.4556,173.8583,Walton Cottage
607,Dire Dawa,ET,67.42,few clouds,9.5931,41.8661,Samrat Hotel
609,Abu Zabad,SD,69.42,clear sky,12.35,29.25,حامد محمد نور
612,Labuan,MY,73.4,few clouds,5.2767,115.2417,Tiara Labuan Hotel
613,Makakilo City,US,78.8,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
614,Raybag,IN,70.66,clear sky,16.4833,74.7833,SHREE RAM TRADERS
619,Tezu,IN,67.77,broken clouds,27.9167,96.1667,Circuit House
620,Santa Maria,BR,84.2,few clouds,-29.6842,-53.8069,Hotel Morotin
621,Sai Buri,TH,73.58,few clouds,6.7013,101.6168,ร้าน​ เวดดิ้ง
625,Biltine,TD,75.31,scattered clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
636,Tevaitoa,PF,82.83,overcast clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
